name
Укрепление врубок
Восстановление отделки
Переборка досок забирки
Полная замена забирки
Ремонт оголовков столбов
Замена столбов и забирки с вывешиванием стен
Полная замена фундамента
Расшивка трещин
Заделка выбоин
Ремонт кладки цоколя
Замена цоколя
Ремонт верхней части фундаментных столбов
Укрепление кладки
Ремонт горизонтальной изоляции
Усиление замена отдельных участков кладки
Восстановление горизонтальной и вертикальной гидроизоляции
Затирка трещин
Заполнение швов между блоками
Ремонт штукатурки стен подвала
Ремонт вертикальной и горизонтальной гидроизоляции и отмостки
Усиление фундаментов и стен
